stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2018,7,1,18.0,11.5,14.4
352200375,WARSZAWA,2018,7,2,15.4,11.9,13.3
352200375,WARSZAWA,2018,7,3,25.0,12.9,18.6
352200375,WARSZAWA,2018,7,4,27.6,11.4,21.2
352200375,WARSZAWA,2018,7,5,31.6,14.5,24.9
352200375,WARSZAWA,2018,7,6,28.1,17.1,21.9
352200375,WARSZAWA,2018,7,7,27.4,16.8,22.1
352200375,WARSZAWA,2018,7,8,27.5,16.1,21.4
352200375,WARSZAWA,2018,7,9,26.1,15.1,21.1
352200375,WARSZAWA,2018,7,10,28.5,14.9,23.0
352200375,WARSZAWA,2018,7,11,26.6,17.4,20.8
352200375,WARSZAWA,2018,7,12,24.4,16.7,19.5
352200375,WARSZAWA,2018,7,13,22.8,15.2,18.4
352200375,WARSZAWA,2018,7,14,21.5,16.7,18.2
352200375,WARSZAWA,2018,7,15,21.6,15.6,17.9
352200375,WARSZAWA,2018,7,16,23.6,15.4,18.6
352200375,WARSZAWA,2018,7,17,24.1,18.4,20.8
352200375,WARSZAWA,2018,7,18,29.7,19.2,22.6
352200375,WARSZAWA,2018,7,19,28.3,19.6,21.4
352200375,WARSZAWA,2018,7,20,28.2,17.7,22.1
352200375,WARSZAWA,2018,7,21,27.0,17.4,22.2
352200375,WARSZAWA,2018,7,22,28.8,15.7,23.2
352200375,WARSZAWA,2018,7,23,28.5,17.7,23.7
352200375,WARSZAWA,2018,7,24,28.6,16.8,23.3
352200375,WARSZAWA,2018,7,25,28.3,18.8,23.4
352200375,WARSZAWA,2018,7,26,29.3,19.7,23.5
352200375,WARSZAWA,2018,7,27,29.0,19.5,24.5
352200375,WARSZAWA,2018,7,28,29.4,19.9,24.9
352200375,WARSZAWA,2018,7,29,29.8,20.1,24.3
352200375,WARSZAWA,2018,7,30,31.5,18.8,24.6
352200375,WARSZAWA,2018,7,31,32.0,20.7,24.6
