stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2006,10,1,21.7,10.8,15.7
352200375,WARSZAWA,2006,10,2,19.8,14.6,16.7
352200375,WARSZAWA,2006,10,3,17.1,11.5,13.9
352200375,WARSZAWA,2006,10,4,16.3,13.9,14.9
352200375,WARSZAWA,2006,10,5,14.2,9.9,11.6
352200375,WARSZAWA,2006,10,6,17.1,5.2,12.0
352200375,WARSZAWA,2006,10,7,19.5,9.8,14.4
352200375,WARSZAWA,2006,10,8,16.4,10.7,13.3
352200375,WARSZAWA,2006,10,9,16.7,12.2,13.4
352200375,WARSZAWA,2006,10,10,19.1,4.1,11.9
352200375,WARSZAWA,2006,10,11,18.7,7.9,12.5
352200375,WARSZAWA,2006,10,12,17.9,7.9,11.6
352200375,WARSZAWA,2006,10,13,17.9,5.4,10.5
352200375,WARSZAWA,2006,10,14,10.6,9.0,9.4
352200375,WARSZAWA,2006,10,15,13.1,5.7,9.3
352200375,WARSZAWA,2006,10,16,10.8,2.6,5.8
352200375,WARSZAWA,2006,10,17,9.9,2.0,5.2
352200375,WARSZAWA,2006,10,18,14.4,-1.5,5.6
352200375,WARSZAWA,2006,10,19,14.4,0.4,7.3
352200375,WARSZAWA,2006,10,20,15.7,2.2,8.7
352200375,WARSZAWA,2006,10,21,18.2,6.2,11.8
352200375,WARSZAWA,2006,10,22,19.9,10.2,14.1
352200375,WARSZAWA,2006,10,23,15.1,6.6,11.6
352200375,WARSZAWA,2006,10,24,16.5,8.4,13.4
352200375,WARSZAWA,2006,10,25,15.5,9.9,12.2
352200375,WARSZAWA,2006,10,26,15.1,0.8,8.8
352200375,WARSZAWA,2006,10,27,21.5,10.3,14.9
352200375,WARSZAWA,2006,10,28,14.5,8.7,9.9
352200375,WARSZAWA,2006,10,29,12.5,4.1,7.6
352200375,WARSZAWA,2006,10,30,4.3,-2.8,0.5
352200375,WARSZAWA,2006,10,31,8.9,-2.2,4.4
