stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2025,8,1,23.6,9.9,17.3
352200375,WARSZAWA,2025,8,2,25.7,13.1,19.7
352200375,WARSZAWA,2025,8,3,28.1,15.6,21.3
352200375,WARSZAWA,2025,8,4,24.4,13.2,19.1
352200375,WARSZAWA,2025,8,5,26.7,11.4,20.1
352200375,WARSZAWA,2025,8,6,23.9,13.9,17.0
352200375,WARSZAWA,2025,8,7,23.6,9.0,17.5
352200375,WARSZAWA,2025,8,8,26.8,12.7,19.9
352200375,WARSZAWA,2025,8,9,29.9,12.9,22.5
352200375,WARSZAWA,2025,8,10,29.9,14.3,21.4
352200375,WARSZAWA,2025,8,11,24.7,11.9,18.3
352200375,WARSZAWA,2025,8,12,27.7,10.4,20.5
352200375,WARSZAWA,2025,8,13,31.1,14.6,23.5
352200375,WARSZAWA,2025,8,14,32.2,17.5,25.2
352200375,WARSZAWA,2025,8,15,32.4,18.5,25.4
352200375,WARSZAWA,2025,8,16,30.3,16.5,23.7
352200375,WARSZAWA,2025,8,17,24.4,14.3,19.2
352200375,WARSZAWA,2025,8,18,22.0,12.7,17.1
352200375,WARSZAWA,2025,8,19,24.8,10.3,18.7
352200375,WARSZAWA,2025,8,20,26.2,10.8,19.2
352200375,WARSZAWA,2025,8,21,22.8,9.8,17.2
352200375,WARSZAWA,2025,8,22,22.5,10.8,17.3
352200375,WARSZAWA,2025,8,23,19.2,11.5,14.4
352200375,WARSZAWA,2025,8,24,19.8,8.4,13.9
352200375,WARSZAWA,2025,8,25,19.1,11.1,14.3
352200375,WARSZAWA,2025,8,26,20.3,8.9,14.7
352200375,WARSZAWA,2025,8,27,24.7,7.6,16.7
352200375,WARSZAWA,2025,8,28,32.1,13.5,23.1
352200375,WARSZAWA,2025,8,29,31.0,21.3,25.3
352200375,WARSZAWA,2025,8,30,29.0,17.8,22.2
352200375,WARSZAWA,2025,8,31,24.1,17.7,20.0
