stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2008,2,1,5.9,-0.9,2.8
352200375,WARSZAWA,2008,2,2,6.4,3.0,4.5
352200375,WARSZAWA,2008,2,3,5.4,-0.7,1.5
352200375,WARSZAWA,2008,2,4,8.5,-1.9,3.4
352200375,WARSZAWA,2008,2,5,7.9,2.5,5.0
352200375,WARSZAWA,2008,2,6,7.5,2.1,5.3
352200375,WARSZAWA,2008,2,7,7.5,3.0,4.6
352200375,WARSZAWA,2008,2,8,5.0,2.5,3.8
352200375,WARSZAWA,2008,2,9,3.7,-3.1,0.4
352200375,WARSZAWA,2008,2,10,4.8,-0.4,1.3
352200375,WARSZAWA,2008,2,11,2.8,-2.7,-0.4
352200375,WARSZAWA,2008,2,12,3.4,-3.3,0.3
352200375,WARSZAWA,2008,2,13,3.5,0.8,1.9
352200375,WARSZAWA,2008,2,14,2.8,0.1,1.3
352200375,WARSZAWA,2008,2,15,0.4,-3.8,-2.5
352200375,WARSZAWA,2008,2,16,-2.6,-7.9,-5.6
352200375,WARSZAWA,2008,2,17,-0.6,-9.8,-3.1
352200375,WARSZAWA,2008,2,18,2.5,-1.2,1.0
352200375,WARSZAWA,2008,2,19,7.3,1.4,3.6
352200375,WARSZAWA,2008,2,20,7.2,-1.0,3.1
352200375,WARSZAWA,2008,2,21,6.9,-0.4,3.8
352200375,WARSZAWA,2008,2,22,9.8,4.5,7.9
352200375,WARSZAWA,2008,2,23,10.5,3.5,6.6
352200375,WARSZAWA,2008,2,24,12.0,3.8,7.4
352200375,WARSZAWA,2008,2,25,9.3,0.2,5.7
352200375,WARSZAWA,2008,2,26,12.6,-0.9,6.6
352200375,WARSZAWA,2008,2,27,12.0,8.1,9.1
352200375,WARSZAWA,2008,2,28,8.2,4.4,5.2
352200375,WARSZAWA,2008,2,29,8.8,-1.2,4.4
