stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2010,3,1,9.9,4.8,6.1
352200375,WARSZAWA,2010,3,2,4.9,1.4,2.3
352200375,WARSZAWA,2010,3,3,3.3,-2.4,0.2
352200375,WARSZAWA,2010,3,4,2.9,-2.7,-1.0
352200375,WARSZAWA,2010,3,5,-1.3,-5.9,-3.5
352200375,WARSZAWA,2010,3,6,-0.5,-4.8,-2.9
352200375,WARSZAWA,2010,3,7,-0.2,-8.6,-4.2
352200375,WARSZAWA,2010,3,8,-0.6,-9.3,-4.9
352200375,WARSZAWA,2010,3,9,-0.1,-10.6,-4.5
352200375,WARSZAWA,2010,3,10,3.9,-3.6,-0.3
352200375,WARSZAWA,2010,3,11,1.9,-5.9,-2.3
352200375,WARSZAWA,2010,3,12,1.5,-2.8,-1.4
352200375,WARSZAWA,2010,3,13,3.5,-1.2,0.8
352200375,WARSZAWA,2010,3,14,2.5,-0.8,0.4
352200375,WARSZAWA,2010,3,15,0.0,-8.1,-2.9
352200375,WARSZAWA,2010,3,16,1.2,-3.5,-1.4
352200375,WARSZAWA,2010,3,17,3.9,-4.2,0.4
352200375,WARSZAWA,2010,3,18,9.0,2.9,5.0
352200375,WARSZAWA,2010,3,19,13.8,0.7,8.1
352200375,WARSZAWA,2010,3,20,17.5,6.8,11.6
352200375,WARSZAWA,2010,3,21,16.4,10.3,12.6
352200375,WARSZAWA,2010,3,22,12.5,5.3,6.0
352200375,WARSZAWA,2010,3,23,14.8,1.1,8.2
352200375,WARSZAWA,2010,3,24,13.4,3.6,7.9
352200375,WARSZAWA,2010,3,25,18.7,2.9,11.2
352200375,WARSZAWA,2010,3,26,20.7,11.4,15.1
352200375,WARSZAWA,2010,3,27,16.3,8.6,9.9
352200375,WARSZAWA,2010,3,28,13.2,2.9,8.8
352200375,WARSZAWA,2010,3,29,13.6,2.2,8.4
352200375,WARSZAWA,2010,3,30,18.1,7.1,13.2
352200375,WARSZAWA,2010,3,31,19.5,8.3,13.3
