stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2010,12,1,-10.1,-17.7,-14.2
352200375,WARSZAWA,2010,12,2,-5.0,-13.4,-9.3
352200375,WARSZAWA,2010,12,3,-6.0,-14.6,-9.7
352200375,WARSZAWA,2010,12,4,-5.7,-13.6,-10.2
352200375,WARSZAWA,2010,12,5,-5.7,-17.1,-10.3
352200375,WARSZAWA,2010,12,6,0.4,-7.4,-1.1
352200375,WARSZAWA,2010,12,7,-0.1,-1.8,-0.9
352200375,WARSZAWA,2010,12,8,0.3,-1.4,-0.4
352200375,WARSZAWA,2010,12,9,3.6,-1.6,0.0
352200375,WARSZAWA,2010,12,10,-1.2,-2.7,-2.2
352200375,WARSZAWA,2010,12,11,-1.6,-7.3,-3.0
352200375,WARSZAWA,2010,12,12,1.5,-1.6,0.9
352200375,WARSZAWA,2010,12,13,0.8,-5.5,-4.8
352200375,WARSZAWA,2010,12,14,-4.9,-11.1,-8.7
352200375,WARSZAWA,2010,12,15,-6.4,-12.1,-8.5
352200375,WARSZAWA,2010,12,16,-7.7,-12.9,-10.0
352200375,WARSZAWA,2010,12,17,-8.6,-14.3,-11.0
352200375,WARSZAWA,2010,12,18,-7.8,-13.2,-10.0
352200375,WARSZAWA,2010,12,19,-5.2,-11.7,-7.9
352200375,WARSZAWA,2010,12,20,4.1,-7.1,-1.7
352200375,WARSZAWA,2010,12,21,-1.9,-8.2,-4.8
352200375,WARSZAWA,2010,12,22,0.7,-3.3,-0.5
352200375,WARSZAWA,2010,12,23,1.6,0.2,0.9
352200375,WARSZAWA,2010,12,24,7.4,1.3,4.5
352200375,WARSZAWA,2010,12,25,4.1,-0.7,0.4
352200375,WARSZAWA,2010,12,26,-0.4,-5.7,-4.1
352200375,WARSZAWA,2010,12,27,-5.7,-11.9,-9.9
352200375,WARSZAWA,2010,12,28,-6.0,-14.1,-9.9
352200375,WARSZAWA,2010,12,29,-8.3,-11.9,-9.6
352200375,WARSZAWA,2010,12,30,-3.8,-8.9,-5.6
352200375,WARSZAWA,2010,12,31,-1.8,-9.5,-4.6
