stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2001,6,1,16.5,5.3,11.7
352200375,WARSZAWA,2001,6,2,18.3,10.3,13.7
352200375,WARSZAWA,2001,6,3,17.2,11.0,12.8
352200375,WARSZAWA,2001,6,4,15.1,5.2,11.1
352200375,WARSZAWA,2001,6,5,17.8,7.0,12.8
352200375,WARSZAWA,2001,6,6,17.3,9.4,13.3
352200375,WARSZAWA,2001,6,7,21.9,9.6,16.8
352200375,WARSZAWA,2001,6,8,22.8,10.3,16.3
352200375,WARSZAWA,2001,6,9,17.8,10.4,13.7
352200375,WARSZAWA,2001,6,10,18.6,10.8,14.2
352200375,WARSZAWA,2001,6,11,15.5,10.6,11.6
352200375,WARSZAWA,2001,6,12,16.3,7.2,10.8
352200375,WARSZAWA,2001,6,13,17.4,7.7,11.9
352200375,WARSZAWA,2001,6,14,20.6,4.6,14.8
352200375,WARSZAWA,2001,6,15,22.8,9.2,17.2
352200375,WARSZAWA,2001,6,16,23.9,9.7,17.6
352200375,WARSZAWA,2001,6,17,20.0,14.0,16.7
352200375,WARSZAWA,2001,6,18,20.4,14.6,16.7
352200375,WARSZAWA,2001,6,19,19.3,11.4,15.2
352200375,WARSZAWA,2001,6,20,22.5,12.8,17.2
352200375,WARSZAWA,2001,6,21,23.4,12.3,17.5
352200375,WARSZAWA,2001,6,22,19.7,12.0,14.6
352200375,WARSZAWA,2001,6,23,14.8,11.0,12.4
352200375,WARSZAWA,2001,6,24,22.2,13.2,16.1
352200375,WARSZAWA,2001,6,25,23.2,12.8,17.2
352200375,WARSZAWA,2001,6,26,23.6,12.0,16.7
352200375,WARSZAWA,2001,6,27,24.6,11.2,18.4
352200375,WARSZAWA,2001,6,28,25.6,10.4,19.4
352200375,WARSZAWA,2001,6,29,25.5,12.6,18.4
352200375,WARSZAWA,2001,6,30,25.2,15.2,20.1
