stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2023,8,1,23.5,17.0,19.7
352200375,WARSZAWA,2023,8,2,25.0,14.8,20.1
352200375,WARSZAWA,2023,8,3,23.0,18.6,20.2
352200375,WARSZAWA,2023,8,4,27.0,15.0,21.3
352200375,WARSZAWA,2023,8,5,23.0,16.5,19.1
352200375,WARSZAWA,2023,8,6,30.3,18.3,22.3
352200375,WARSZAWA,2023,8,7,20.8,13.5,16.5
352200375,WARSZAWA,2023,8,8,20.5,13.4,16.5
352200375,WARSZAWA,2023,8,9,20.9,12.3,15.5
352200375,WARSZAWA,2023,8,10,23.6,9.3,16.7
352200375,WARSZAWA,2023,8,11,24.8,9.4,18.2
352200375,WARSZAWA,2023,8,12,26.8,11.4,19.8
352200375,WARSZAWA,2023,8,13,30.4,14.5,23.2
352200375,WARSZAWA,2023,8,14,30.7,16.8,24.5
352200375,WARSZAWA,2023,8,15,34.3,20.0,27.2
352200375,WARSZAWA,2023,8,16,33.7,17.9,26.6
352200375,WARSZAWA,2023,8,17,33.6,22.2,27.3
352200375,WARSZAWA,2023,8,18,31.2,18.9,23.8
352200375,WARSZAWA,2023,8,19,30.3,19.5,24.1
352200375,WARSZAWA,2023,8,20,31.1,18.6,25.9
352200375,WARSZAWA,2023,8,21,28.3,19.6,23.6
352200375,WARSZAWA,2023,8,22,25.7,15.8,20.8
352200375,WARSZAWA,2023,8,23,25.4,15.2,20.6
352200375,WARSZAWA,2023,8,24,26.5,14.5,20.7
352200375,WARSZAWA,2023,8,25,24.7,14.5,20.1
352200375,WARSZAWA,2023,8,26,29.0,18.9,23.9
352200375,WARSZAWA,2023,8,27,27.7,18.6,23.0
352200375,WARSZAWA,2023,8,28,24.0,17.2,19.7
352200375,WARSZAWA,2023,8,29,25.2,18.8,20.9
352200375,WARSZAWA,2023,8,30,21.9,16.7,17.4
352200375,WARSZAWA,2023,8,31,22.5,14.9,16.3
