stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2009,11,1,5.7,-0.1,1.8
352200375,WARSZAWA,2009,11,2,5.2,-2.6,0.6
352200375,WARSZAWA,2009,11,3,1.4,-3.4,-1.1
352200375,WARSZAWA,2009,11,4,2.4,-1.2,0.9
352200375,WARSZAWA,2009,11,5,6.3,1.0,3.7
352200375,WARSZAWA,2009,11,6,6.0,1.4,2.6
352200375,WARSZAWA,2009,11,7,4.9,1.1,4.0
352200375,WARSZAWA,2009,11,8,6.9,4.5,5.5
352200375,WARSZAWA,2009,11,9,10.6,5.5,8.6
352200375,WARSZAWA,2009,11,10,8.1,6.4,7.3
352200375,WARSZAWA,2009,11,11,6.4,4.1,4.7
352200375,WARSZAWA,2009,11,12,4.5,2.2,3.5
352200375,WARSZAWA,2009,11,13,7.2,2.3,4.9
352200375,WARSZAWA,2009,11,14,9.3,4.5,6.2
352200375,WARSZAWA,2009,11,15,6.4,4.4,5.2
352200375,WARSZAWA,2009,11,16,8.3,5.5,7.0
352200375,WARSZAWA,2009,11,17,11.0,6.8,8.6
352200375,WARSZAWA,2009,11,18,10.8,7.4,9.0
352200375,WARSZAWA,2009,11,19,11.2,7.7,10.0
352200375,WARSZAWA,2009,11,20,12.9,4.7,7.5
352200375,WARSZAWA,2009,11,21,10.8,2.3,6.9
352200375,WARSZAWA,2009,11,22,8.9,1.2,6.1
352200375,WARSZAWA,2009,11,23,11.1,4.0,7.9
352200375,WARSZAWA,2009,11,24,11.3,7.7,9.2
352200375,WARSZAWA,2009,11,25,12.1,7.4,9.1
352200375,WARSZAWA,2009,11,26,11.7,3.1,6.1
352200375,WARSZAWA,2009,11,27,10.5,2.2,6.4
352200375,WARSZAWA,2009,11,28,9.0,2.7,5.1
352200375,WARSZAWA,2009,11,29,9.9,2.2,5.4
352200375,WARSZAWA,2009,11,30,9.5,1.5,6.0
