stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2016,7,1,28.2,17.8,22.7
352200375,WARSZAWA,2016,7,2,31.5,18.2,25.1
352200375,WARSZAWA,2016,7,3,29.8,14.7,17.7
352200375,WARSZAWA,2016,7,4,22.5,11.4,17.2
352200375,WARSZAWA,2016,7,5,24.4,8.9,18.7
352200375,WARSZAWA,2016,7,6,21.8,13.2,16.5
352200375,WARSZAWA,2016,7,7,19.6,12.4,15.6
352200375,WARSZAWA,2016,7,8,24.2,8.3,18.3
352200375,WARSZAWA,2016,7,9,22.2,15.6,18.3
352200375,WARSZAWA,2016,7,10,26.0,14.4,20.3
352200375,WARSZAWA,2016,7,11,32.1,17.2,24.4
352200375,WARSZAWA,2016,7,12,25.4,19.1,21.8
352200375,WARSZAWA,2016,7,13,23.3,18.4,20.1
352200375,WARSZAWA,2016,7,14,22.2,16.4,18.2
352200375,WARSZAWA,2016,7,15,20.7,12.3,16.4
352200375,WARSZAWA,2016,7,16,21.3,12.0,17.1
352200375,WARSZAWA,2016,7,17,21.6,15.3,18.4
352200375,WARSZAWA,2016,7,18,20.5,15.8,17.3
352200375,WARSZAWA,2016,7,19,22.4,14.2,17.3
352200375,WARSZAWA,2016,7,20,23.8,11.6,18.2
352200375,WARSZAWA,2016,7,21,25.2,11.8,18.9
352200375,WARSZAWA,2016,7,22,22.4,11.5,18.2
352200375,WARSZAWA,2016,7,23,25.9,17.8,20.9
352200375,WARSZAWA,2016,7,24,28.2,17.5,23.0
352200375,WARSZAWA,2016,7,25,29.2,19.9,24.3
352200375,WARSZAWA,2016,7,26,30.5,20.1,24.8
352200375,WARSZAWA,2016,7,27,28.5,19.5,23.0
352200375,WARSZAWA,2016,7,28,27.4,18.4,22.5
352200375,WARSZAWA,2016,7,29,27.3,17.4,20.8
352200375,WARSZAWA,2016,7,30,26.7,15.9,21.2
352200375,WARSZAWA,2016,7,31,28.6,17.1,22.0
