stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2016,3,1,1.2,0.3,0.7
352200375,WARSZAWA,2016,3,2,3.4,0.1,1.3
352200375,WARSZAWA,2016,3,3,8.5,0.8,4.0
352200375,WARSZAWA,2016,3,4,4.9,1.3,2.3
352200375,WARSZAWA,2016,3,5,5.8,1.2,2.8
352200375,WARSZAWA,2016,3,6,9.4,1.4,5.8
352200375,WARSZAWA,2016,3,7,8.2,-1.8,3.8
352200375,WARSZAWA,2016,3,8,6.9,2.6,4.8
352200375,WARSZAWA,2016,3,9,7.4,-2.9,3.8
352200375,WARSZAWA,2016,3,10,6.9,3.5,4.8
352200375,WARSZAWA,2016,3,11,6.1,4.5,5.2
352200375,WARSZAWA,2016,3,12,5.6,3.3,4.1
352200375,WARSZAWA,2016,3,13,7.3,1.3,4.1
352200375,WARSZAWA,2016,3,14,6.7,-2.0,1.6
352200375,WARSZAWA,2016,3,15,4.2,0.1,2.3
352200375,WARSZAWA,2016,3,16,8.3,0.2,3.7
352200375,WARSZAWA,2016,3,17,10.7,-0.3,4.7
352200375,WARSZAWA,2016,3,18,7.8,2.6,4.7
352200375,WARSZAWA,2016,3,19,5.1,-3.2,1.5
352200375,WARSZAWA,2016,3,20,6.3,3.4,4.3
352200375,WARSZAWA,2016,3,21,10.4,2.6,5.7
352200375,WARSZAWA,2016,3,22,7.0,2.5,4.2
352200375,WARSZAWA,2016,3,23,7.1,-3.5,1.9
352200375,WARSZAWA,2016,3,24,7.2,-3.1,1.6
352200375,WARSZAWA,2016,3,25,8.1,-3.4,3.5
352200375,WARSZAWA,2016,3,26,7.1,2.3,5.0
352200375,WARSZAWA,2016,3,27,11.6,-2.6,5.2
352200375,WARSZAWA,2016,3,28,15.1,1.0,8.1
352200375,WARSZAWA,2016,3,29,12.7,4.2,7.7
352200375,WARSZAWA,2016,3,30,13.0,4.0,8.3
352200375,WARSZAWA,2016,3,31,13.1,5.1,8.9
