stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2003,11,1,14.2,2.1,8.2
352200375,WARSZAWA,2003,11,2,12.6,8.0,8.5
352200375,WARSZAWA,2003,11,3,12.0,4.0,8.2
352200375,WARSZAWA,2003,11,4,12.5,6.8,9.5
352200375,WARSZAWA,2003,11,5,9.0,5.6,7.2
352200375,WARSZAWA,2003,11,6,9.1,4.6,6.7
352200375,WARSZAWA,2003,11,7,7.9,6.0,6.2
352200375,WARSZAWA,2003,11,8,6.2,-0.1,1.5
352200375,WARSZAWA,2003,11,9,2.6,-0.7,1.2
352200375,WARSZAWA,2003,11,10,6.7,1.2,3.3
352200375,WARSZAWA,2003,11,11,4.0,-3.2,-0.6
352200375,WARSZAWA,2003,11,12,-0.7,-2.5,-1.6
352200375,WARSZAWA,2003,11,13,1.7,-1.7,0.1
352200375,WARSZAWA,2003,11,14,1.3,-3.0,-2.3
352200375,WARSZAWA,2003,11,15,-1.5,-2.5,-2.1
352200375,WARSZAWA,2003,11,16,3.1,-2.1,0.0
352200375,WARSZAWA,2003,11,17,5.9,-0.9,2.4
352200375,WARSZAWA,2003,11,18,6.1,4.1,5.1
352200375,WARSZAWA,2003,11,19,11.7,5.2,9.9
352200375,WARSZAWA,2003,11,20,11.3,4.9,7.2
352200375,WARSZAWA,2003,11,21,9.3,1.3,5.8
352200375,WARSZAWA,2003,11,22,11.4,2.8,6.6
352200375,WARSZAWA,2003,11,23,11.0,1.2,5.9
352200375,WARSZAWA,2003,11,24,11.7,0.4,5.8
352200375,WARSZAWA,2003,11,25,12.2,3.7,7.5
352200375,WARSZAWA,2003,11,26,10.8,5.0,8.8
352200375,WARSZAWA,2003,11,27,11.8,8.1,9.4
352200375,WARSZAWA,2003,11,28,11.4,6.4,8.2
352200375,WARSZAWA,2003,11,29,8.0,4.6,5.6
352200375,WARSZAWA,2003,11,30,6.2,1.5,5.1
