stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2003,9,1,18.0,7.7,12.8
352200375,WARSZAWA,2003,9,2,14.4,9.3,10.5
352200375,WARSZAWA,2003,9,3,14.7,3.9,9.1
352200375,WARSZAWA,2003,9,4,16.2,2.8,10.8
352200375,WARSZAWA,2003,9,5,18.1,9.8,13.6
352200375,WARSZAWA,2003,9,6,20.0,6.4,13.4
352200375,WARSZAWA,2003,9,7,20.6,5.8,14.1
352200375,WARSZAWA,2003,9,8,21.4,7.3,14.8
352200375,WARSZAWA,2003,9,9,20.9,8.2,14.7
352200375,WARSZAWA,2003,9,10,21.1,6.6,15.2
352200375,WARSZAWA,2003,9,11,16.8,12.0,14.1
352200375,WARSZAWA,2003,9,12,18.2,12.9,14.6
352200375,WARSZAWA,2003,9,13,17.4,10.6,13.4
352200375,WARSZAWA,2003,9,14,20.7,6.2,13.5
352200375,WARSZAWA,2003,9,15,20.4,7.1,13.4
352200375,WARSZAWA,2003,9,16,21.0,7.3,13.9
352200375,WARSZAWA,2003,9,17,19.9,9.5,14.8
352200375,WARSZAWA,2003,9,18,21.5,8.4,14.7
352200375,WARSZAWA,2003,9,19,27.6,9.1,18.2
352200375,WARSZAWA,2003,9,20,23.6,11.1,17.1
352200375,WARSZAWA,2003,9,21,28.2,12.2,20.1
352200375,WARSZAWA,2003,9,22,23.6,10.2,17.8
352200375,WARSZAWA,2003,9,23,27.2,13.8,19.1
352200375,WARSZAWA,2003,9,24,16.4,10.2,12.0
352200375,WARSZAWA,2003,9,25,15.7,4.2,9.5
352200375,WARSZAWA,2003,9,26,16.1,2.2,9.8
352200375,WARSZAWA,2003,9,27,18.5,4.7,11.7
352200375,WARSZAWA,2003,9,28,17.3,3.8,11.8
352200375,WARSZAWA,2003,9,29,20.7,8.6,14.5
352200375,WARSZAWA,2003,9,30,17.1,10.6,11.8
