stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2011,4,1,17.0,10.1,12.0
352200375,WARSZAWA,2011,4,2,14.8,5.3,9.7
352200375,WARSZAWA,2011,4,3,18.2,4.0,11.4
352200375,WARSZAWA,2011,4,4,19.1,4.8,10.8
352200375,WARSZAWA,2011,4,5,15.0,6.5,9.6
352200375,WARSZAWA,2011,4,6,14.1,6.0,10.7
352200375,WARSZAWA,2011,4,7,20.3,9.8,12.6
352200375,WARSZAWA,2011,4,8,11.0,6.2,7.7
352200375,WARSZAWA,2011,4,9,9.0,3.1,6.2
352200375,WARSZAWA,2011,4,10,9.8,2.9,5.7
352200375,WARSZAWA,2011,4,11,7.6,-1.1,4.8
352200375,WARSZAWA,2011,4,12,16.3,6.8,10.3
352200375,WARSZAWA,2011,4,13,8.9,4.9,5.8
352200375,WARSZAWA,2011,4,14,12.0,5.1,7.6
352200375,WARSZAWA,2011,4,15,12.2,3.1,7.1
352200375,WARSZAWA,2011,4,16,13.9,1.7,8.3
352200375,WARSZAWA,2011,4,17,15.9,4.2,10.5
352200375,WARSZAWA,2011,4,18,17.7,5.0,11.4
352200375,WARSZAWA,2011,4,19,15.1,4.8,10.4
352200375,WARSZAWA,2011,4,20,17.8,3.4,11.2
352200375,WARSZAWA,2011,4,21,20.3,5.3,13.2
352200375,WARSZAWA,2011,4,22,20.5,5.5,14.1
352200375,WARSZAWA,2011,4,23,20.1,7.6,14.0
352200375,WARSZAWA,2011,4,24,16.2,10.3,12.3
352200375,WARSZAWA,2011,4,25,20.3,7.2,13.8
352200375,WARSZAWA,2011,4,26,22.9,7.4,16.0
352200375,WARSZAWA,2011,4,27,23.2,9.1,16.6
352200375,WARSZAWA,2011,4,28,23.7,10.0,17.2
352200375,WARSZAWA,2011,4,29,22.7,7.6,16.4
352200375,WARSZAWA,2011,4,30,18.9,7.9,14.4
