stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2015,4,1,6.5,2.4,4.0
352200375,WARSZAWA,2015,4,2,4.6,0.9,2.2
352200375,WARSZAWA,2015,4,3,8.3,-0.6,1.9
352200375,WARSZAWA,2015,4,4,7.8,-0.1,2.0
352200375,WARSZAWA,2015,4,5,5.7,-0.1,2.1
352200375,WARSZAWA,2015,4,6,5.6,0.5,3.0
352200375,WARSZAWA,2015,4,7,7.9,-0.1,4.4
352200375,WARSZAWA,2015,4,8,13.1,5.0,7.8
352200375,WARSZAWA,2015,4,9,14.1,0.3,7.2
352200375,WARSZAWA,2015,4,10,17.9,0.2,10.1
352200375,WARSZAWA,2015,4,11,20.7,3.9,13.5
352200375,WARSZAWA,2015,4,12,16.8,7.7,11.4
352200375,WARSZAWA,2015,4,13,14.9,3.0,7.9
352200375,WARSZAWA,2015,4,14,10.2,1.9,6.5
352200375,WARSZAWA,2015,4,15,14.6,7.1,11.2
352200375,WARSZAWA,2015,4,16,15.7,9.5,11.9
352200375,WARSZAWA,2015,4,17,12.5,3.2,7.4
352200375,WARSZAWA,2015,4,18,9.1,0.4,4.6
352200375,WARSZAWA,2015,4,19,9.2,1.4,5.0
352200375,WARSZAWA,2015,4,20,14.1,4.6,8.6
352200375,WARSZAWA,2015,4,21,16.0,0.4,8.5
352200375,WARSZAWA,2015,4,22,16.2,3.1,10.3
352200375,WARSZAWA,2015,4,23,18.5,1.5,11.8
352200375,WARSZAWA,2015,4,24,19.9,7.9,14.3
352200375,WARSZAWA,2015,4,25,22.9,5.1,15.3
352200375,WARSZAWA,2015,4,26,18.2,12.6,14.2
352200375,WARSZAWA,2015,4,27,23.3,6.4,16.0
352200375,WARSZAWA,2015,4,28,23.5,12.8,15.8
352200375,WARSZAWA,2015,4,29,14.4,4.2,8.1
352200375,WARSZAWA,2015,4,30,14.9,2.3,9.8
