stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2003,7,1,24.4,14.0,19.6
352200375,WARSZAWA,2003,7,2,22.5,14.3,17.8
352200375,WARSZAWA,2003,7,3,25.2,13.2,19.3
352200375,WARSZAWA,2003,7,4,23.4,13.0,18.9
352200375,WARSZAWA,2003,7,5,22.2,14.7,18.1
352200375,WARSZAWA,2003,7,6,19.8,14.8,16.7
352200375,WARSZAWA,2003,7,7,21.6,14.2,16.9
352200375,WARSZAWA,2003,7,8,20.1,12.3,15.7
352200375,WARSZAWA,2003,7,9,23.8,10.7,17.0
352200375,WARSZAWA,2003,7,10,22.2,13.3,17.4
352200375,WARSZAWA,2003,7,11,22.2,12.3,16.6
352200375,WARSZAWA,2003,7,12,21.5,11.6,16.4
352200375,WARSZAWA,2003,7,13,21.4,12.5,16.9
352200375,WARSZAWA,2003,7,14,24.6,13.8,19.1
352200375,WARSZAWA,2003,7,15,24.6,14.2,19.3
352200375,WARSZAWA,2003,7,16,29.4,15.9,22.7
352200375,WARSZAWA,2003,7,17,29.9,16.3,24.0
352200375,WARSZAWA,2003,7,18,32.3,16.5,23.8
352200375,WARSZAWA,2003,7,19,24.0,16.8,20.6
352200375,WARSZAWA,2003,7,20,28.2,15.3,22.0
352200375,WARSZAWA,2003,7,21,31.1,15.1,24.0
352200375,WARSZAWA,2003,7,22,30.6,17.8,22.2
352200375,WARSZAWA,2003,7,23,26.4,16.5,21.3
352200375,WARSZAWA,2003,7,24,28.7,17.8,23.2
352200375,WARSZAWA,2003,7,25,28.8,16.3,23.1
352200375,WARSZAWA,2003,7,26,28.6,18.4,21.0
352200375,WARSZAWA,2003,7,27,30.5,17.6,24.4
352200375,WARSZAWA,2003,7,28,31.8,19.3,24.7
352200375,WARSZAWA,2003,7,29,24.1,19.5,20.8
352200375,WARSZAWA,2003,7,30,28.0,17.0,21.1
352200375,WARSZAWA,2003,7,31,28.2,18.0,21.4
