stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2001,1,1,-0.3,-3.8,-3.2
352200375,WARSZAWA,2001,1,2,0.9,-8.8,-2.1
352200375,WARSZAWA,2001,1,3,1.3,0.2,0.6
352200375,WARSZAWA,2001,1,4,2.5,0.3,1.6
352200375,WARSZAWA,2001,1,5,1.4,-0.3,0.4
352200375,WARSZAWA,2001,1,6,8.1,0.1,4.5
352200375,WARSZAWA,2001,1,7,7.7,2.8,3.9
352200375,WARSZAWA,2001,1,8,4.2,1.6,3.1
352200375,WARSZAWA,2001,1,9,3.0,-0.6,0.9
352200375,WARSZAWA,2001,1,10,3.1,0.9,2.2
352200375,WARSZAWA,2001,1,11,1.6,-2.5,-1.0
352200375,WARSZAWA,2001,1,12,0.3,-2.1,-1.2
352200375,WARSZAWA,2001,1,13,-0.8,-4.4,-2.1
352200375,WARSZAWA,2001,1,14,0.1,-5.9,-1.1
352200375,WARSZAWA,2001,1,15,0.7,-0.3,0.1
352200375,WARSZAWA,2001,1,16,0.3,-0.7,-0.4
352200375,WARSZAWA,2001,1,17,-0.5,-4.3,-3.1
352200375,WARSZAWA,2001,1,18,-0.8,-5.3,-3.9
352200375,WARSZAWA,2001,1,19,-1.9,-5.7,-3.6
352200375,WARSZAWA,2001,1,20,-2.1,-6.6,-3.9
352200375,WARSZAWA,2001,1,21,-2.3,-3.8,-3.2
352200375,WARSZAWA,2001,1,22,-3.1,-6.8,-4.9
352200375,WARSZAWA,2001,1,23,-2.9,-7.8,-5.5
352200375,WARSZAWA,2001,1,24,3.1,-4.2,-0.9
352200375,WARSZAWA,2001,1,25,4.8,-0.7,2.0
352200375,WARSZAWA,2001,1,26,4.1,-1.3,1.9
352200375,WARSZAWA,2001,1,27,3.5,-0.2,1.8
352200375,WARSZAWA,2001,1,28,5.8,0.2,1.9
352200375,WARSZAWA,2001,1,29,4.9,-6.0,-0.4
352200375,WARSZAWA,2001,1,30,1.9,0.0,0.6
352200375,WARSZAWA,2001,1,31,0.6,-1.1,-0.5
