stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2002,10,1,17.0,10.9,13.5
352200375,WARSZAWA,2002,10,2,15.9,10.8,12.8
352200375,WARSZAWA,2002,10,3,17.6,5.3,11.6
352200375,WARSZAWA,2002,10,4,16.5,6.1,11.3
352200375,WARSZAWA,2002,10,5,11.6,8.6,9.8
352200375,WARSZAWA,2002,10,6,11.9,6.7,9.4
352200375,WARSZAWA,2002,10,7,10.1,2.9,5.3
352200375,WARSZAWA,2002,10,8,5.4,3.5,4.2
352200375,WARSZAWA,2002,10,9,5.1,1.0,2.4
352200375,WARSZAWA,2002,10,10,8.0,-5.8,1.7
352200375,WARSZAWA,2002,10,11,7.3,-2.3,2.6
352200375,WARSZAWA,2002,10,12,4.6,-0.4,2.4
352200375,WARSZAWA,2002,10,13,2.1,0.2,1.1
352200375,WARSZAWA,2002,10,14,5.6,1.2,3.4
352200375,WARSZAWA,2002,10,15,12.8,4.0,8.6
352200375,WARSZAWA,2002,10,16,14.9,6.5,10.2
352200375,WARSZAWA,2002,10,17,15.6,9.0,13.0
352200375,WARSZAWA,2002,10,18,13.1,7.7,9.2
352200375,WARSZAWA,2002,10,19,10.8,5.2,6.8
352200375,WARSZAWA,2002,10,20,6.6,2.3,4.2
352200375,WARSZAWA,2002,10,21,7.3,-1.7,4.4
352200375,WARSZAWA,2002,10,22,14.8,4.9,10.0
352200375,WARSZAWA,2002,10,23,17.1,9.7,13.5
352200375,WARSZAWA,2002,10,24,14.4,5.2,8.0
352200375,WARSZAWA,2002,10,25,10.5,-1.7,5.3
352200375,WARSZAWA,2002,10,26,12.8,5.8,8.9
352200375,WARSZAWA,2002,10,27,10.5,5.9,8.6
352200375,WARSZAWA,2002,10,28,11.7,5.4,7.7
352200375,WARSZAWA,2002,10,29,7.7,4.2,5.4
352200375,WARSZAWA,2002,10,30,5.0,-0.5,3.2
352200375,WARSZAWA,2002,10,31,5.4,1.3,3.5
