stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2015,11,1,15.4,0.0,6.9
352200375,WARSZAWA,2015,11,2,12.6,1.9,6.7
352200375,WARSZAWA,2015,11,3,11.4,-1.2,4.5
352200375,WARSZAWA,2015,11,4,9.0,-3.2,2.2
352200375,WARSZAWA,2015,11,5,4.6,0.9,2.8
352200375,WARSZAWA,2015,11,6,3.1,0.5,1.1
352200375,WARSZAWA,2015,11,7,7.5,1.0,4.6
352200375,WARSZAWA,2015,11,8,15.8,7.1,12.3
352200375,WARSZAWA,2015,11,9,11.8,3.9,8.6
352200375,WARSZAWA,2015,11,10,14.0,9.7,12.0
352200375,WARSZAWA,2015,11,11,15.0,13.1,13.8
352200375,WARSZAWA,2015,11,12,13.5,10.4,11.4
352200375,WARSZAWA,2015,11,13,10.7,5.9,7.6
352200375,WARSZAWA,2015,11,14,10.4,6.2,7.9
352200375,WARSZAWA,2015,11,15,7.3,5.0,5.9
352200375,WARSZAWA,2015,11,16,7.5,4.4,5.9
352200375,WARSZAWA,2015,11,17,10.2,5.5,9.3
352200375,WARSZAWA,2015,11,18,12.6,9.1,10.6
352200375,WARSZAWA,2015,11,19,12.8,7.4,10.1
352200375,WARSZAWA,2015,11,20,10.0,3.8,7.4
352200375,WARSZAWA,2015,11,21,5.7,3.4,4.5
352200375,WARSZAWA,2015,11,22,3.9,1.1,2.7
352200375,WARSZAWA,2015,11,23,4.1,-1.8,0.9
352200375,WARSZAWA,2015,11,24,1.4,-2.0,-0.5
352200375,WARSZAWA,2015,11,25,1.7,-4.9,-1.9
352200375,WARSZAWA,2015,11,26,-0.7,-3.5,-1.9
352200375,WARSZAWA,2015,11,27,-0.3,-5.9,-2.8
352200375,WARSZAWA,2015,11,28,-0.1,-3.9,-1.1
352200375,WARSZAWA,2015,11,29,5.1,-0.4,3.1
352200375,WARSZAWA,2015,11,30,7.2,3.9,5.3
