stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2005,4,1,10.6,-3.3,4.2
352200375,WARSZAWA,2005,4,2,13.7,-4.2,5.5
352200375,WARSZAWA,2005,4,3,16.0,-1.8,7.6
352200375,WARSZAWA,2005,4,4,18.1,-0.5,9.9
352200375,WARSZAWA,2005,4,5,20.2,0.8,11.3
352200375,WARSZAWA,2005,4,6,13.2,5.8,8.8
352200375,WARSZAWA,2005,4,7,20.2,4.4,12.8
352200375,WARSZAWA,2005,4,8,19.5,8.7,14.1
352200375,WARSZAWA,2005,4,9,15.0,5.7,8.2
352200375,WARSZAWA,2005,4,10,9.9,3.8,5.7
352200375,WARSZAWA,2005,4,11,12.7,-0.1,6.9
352200375,WARSZAWA,2005,4,12,14.6,2.0,9.2
352200375,WARSZAWA,2005,4,13,17.8,6.6,11.3
352200375,WARSZAWA,2005,4,14,20.0,6.1,13.1
352200375,WARSZAWA,2005,4,15,19.1,8.1,13.4
352200375,WARSZAWA,2005,4,16,18.7,9.7,12.9
352200375,WARSZAWA,2005,4,17,21.2,4.5,13.9
352200375,WARSZAWA,2005,4,18,16.8,9.2,12.4
352200375,WARSZAWA,2005,4,19,16.6,8.8,11.5
352200375,WARSZAWA,2005,4,20,10.9,1.3,4.4
352200375,WARSZAWA,2005,4,21,7.9,-3.2,2.8
352200375,WARSZAWA,2005,4,22,9.2,-2.9,3.7
352200375,WARSZAWA,2005,4,23,8.9,0.5,4.2
352200375,WARSZAWA,2005,4,24,11.1,-2.9,5.3
352200375,WARSZAWA,2005,4,25,15.6,0.2,8.8
352200375,WARSZAWA,2005,4,26,14.6,4.4,8.6
352200375,WARSZAWA,2005,4,27,16.4,2.3,10.4
352200375,WARSZAWA,2005,4,28,12.2,7.4,8.7
352200375,WARSZAWA,2005,4,29,15.3,2.3,9.0
352200375,WARSZAWA,2005,4,30,17.7,2.2,11.1
