stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2020,7,1,26.9,14.6,21.4
352200375,WARSZAWA,2020,7,2,26.4,17.2,21.8
352200375,WARSZAWA,2020,7,3,24.9,18.7,20.6
352200375,WARSZAWA,2020,7,4,25.5,15.0,20.6
352200375,WARSZAWA,2020,7,5,28.5,16.2,23.0
352200375,WARSZAWA,2020,7,6,27.2,17.9,21.2
352200375,WARSZAWA,2020,7,7,20.0,13.7,15.9
352200375,WARSZAWA,2020,7,8,18.5,8.6,14.5
352200375,WARSZAWA,2020,7,9,21.5,11.6,16.8
352200375,WARSZAWA,2020,7,10,27.8,15.7,21.7
352200375,WARSZAWA,2020,7,11,24.6,13.8,14.9
352200375,WARSZAWA,2020,7,12,20.3,10.9,15.5
352200375,WARSZAWA,2020,7,13,19.5,10.8,15.2
352200375,WARSZAWA,2020,7,14,23.8,11.3,17.9
352200375,WARSZAWA,2020,7,15,25.5,13.1,20.1
352200375,WARSZAWA,2020,7,16,22.6,13.8,16.7
352200375,WARSZAWA,2020,7,17,22.0,13.4,16.7
352200375,WARSZAWA,2020,7,18,27.9,14.2,21.8
352200375,WARSZAWA,2020,7,19,28.3,15.3,22.4
352200375,WARSZAWA,2020,7,20,28.4,14.7,21.4
352200375,WARSZAWA,2020,7,21,22.4,14.6,18.1
352200375,WARSZAWA,2020,7,22,22.1,9.8,17.1
352200375,WARSZAWA,2020,7,23,20.6,10.5,15.6
352200375,WARSZAWA,2020,7,24,24.4,9.1,18.3
352200375,WARSZAWA,2020,7,25,26.0,13.8,20.6
352200375,WARSZAWA,2020,7,26,28.2,13.1,21.9
352200375,WARSZAWA,2020,7,27,28.3,18.1,22.7
352200375,WARSZAWA,2020,7,28,30.4,16.7,23.8
352200375,WARSZAWA,2020,7,29,27.2,17.9,21.0
352200375,WARSZAWA,2020,7,30,24.4,12.6,19.2
352200375,WARSZAWA,2020,7,31,23.0,13.8,18.5
