stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2020,8,1,24.9,13.3,18.6
352200375,WARSZAWA,2020,8,2,26.8,11.8,20.9
352200375,WARSZAWA,2020,8,3,24.9,17.5,19.9
352200375,WARSZAWA,2020,8,4,18.4,16.7,17.4
352200375,WARSZAWA,2020,8,5,23.4,12.5,18.1
352200375,WARSZAWA,2020,8,6,27.6,15.7,22.0
352200375,WARSZAWA,2020,8,7,30.4,18.6,24.9
352200375,WARSZAWA,2020,8,8,31.3,19.9,26.1
352200375,WARSZAWA,2020,8,9,31.6,18.0,24.8
352200375,WARSZAWA,2020,8,10,29.9,17.9,24.5
352200375,WARSZAWA,2020,8,11,29.2,18.7,23.6
352200375,WARSZAWA,2020,8,12,26.9,14.1,20.6
352200375,WARSZAWA,2020,8,13,28.0,14.3,21.6
352200375,WARSZAWA,2020,8,14,28.8,15.4,22.7
352200375,WARSZAWA,2020,8,15,27.7,17.7,22.6
352200375,WARSZAWA,2020,8,16,28.6,13.9,22.0
352200375,WARSZAWA,2020,8,17,29.4,16.0,22.3
352200375,WARSZAWA,2020,8,18,26.8,15.0,21.7
352200375,WARSZAWA,2020,8,19,25.2,14.5,19.7
352200375,WARSZAWA,2020,8,20,27.9,15.4,21.6
352200375,WARSZAWA,2020,8,21,30.6,13.1,23.0
352200375,WARSZAWA,2020,8,22,32.9,17.0,23.1
352200375,WARSZAWA,2020,8,23,23.4,18.1,19.9
352200375,WARSZAWA,2020,8,24,24.6,13.8,19.5
352200375,WARSZAWA,2020,8,25,22.5,15.0,17.9
352200375,WARSZAWA,2020,8,26,26.7,11.5,17.9
352200375,WARSZAWA,2020,8,27,18.6,15.1,16.2
352200375,WARSZAWA,2020,8,28,20.3,13.3,16.2
352200375,WARSZAWA,2020,8,29,21.6,14.8,17.6
352200375,WARSZAWA,2020,8,30,19.4,14.4,17.4
352200375,WARSZAWA,2020,8,31,19.7,14.8,16.6
