stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2021,3,1,3.7,2.0,2.8
352200375,WARSZAWA,2021,3,2,9.3,2.0,3.8
352200375,WARSZAWA,2021,3,3,6.2,-1.1,1.2
352200375,WARSZAWA,2021,3,4,5.8,-2.6,3.0
352200375,WARSZAWA,2021,3,5,4.5,-1.8,0.1
352200375,WARSZAWA,2021,3,6,4.8,-4.1,0.3
352200375,WARSZAWA,2021,3,7,3.1,0.8,2.3
352200375,WARSZAWA,2021,3,8,2.9,-4.1,-0.8
352200375,WARSZAWA,2021,3,9,2.3,-5.8,-1.9
352200375,WARSZAWA,2021,3,10,4.1,-6.6,-1.4
352200375,WARSZAWA,2021,3,11,2.6,-5.7,-0.8
352200375,WARSZAWA,2021,3,12,7.7,0.0,5.2
352200375,WARSZAWA,2021,3,13,10.5,0.1,5.6
352200375,WARSZAWA,2021,3,14,9.7,3.7,6.0
352200375,WARSZAWA,2021,3,15,7.6,-2.8,3.1
352200375,WARSZAWA,2021,3,16,9.4,-2.8,3.1
352200375,WARSZAWA,2021,3,17,4.0,-1.3,1.5
352200375,WARSZAWA,2021,3,18,2.8,-3.0,-0.4
352200375,WARSZAWA,2021,3,19,2.9,-4.6,-1.2
352200375,WARSZAWA,2021,3,20,1.0,-4.0,-2.0
352200375,WARSZAWA,2021,3,21,1.1,-3.0,-0.4
352200375,WARSZAWA,2021,3,22,6.7,-3.2,1.5
352200375,WARSZAWA,2021,3,23,9.1,1.8,5.4
352200375,WARSZAWA,2021,3,24,7.9,3.7,5.7
352200375,WARSZAWA,2021,3,25,11.2,3.5,6.5
352200375,WARSZAWA,2021,3,26,13.6,2.0,7.4
352200375,WARSZAWA,2021,3,27,19.5,4.0,9.9
352200375,WARSZAWA,2021,3,28,9.8,2.9,5.5
352200375,WARSZAWA,2021,3,29,12.0,0.8,7.7
352200375,WARSZAWA,2021,3,30,13.0,9.1,10.9
352200375,WARSZAWA,2021,3,31,20.0,2.8,11.8
