stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2021,12,1,2.9,-0.8,1.4
352200375,WARSZAWA,2021,12,2,6.8,1.7,4.9
352200375,WARSZAWA,2021,12,3,3.0,-0.3,1.3
352200375,WARSZAWA,2021,12,4,2.1,-2.2,-0.4
352200375,WARSZAWA,2021,12,5,-0.1,-3.4,-1.1
352200375,WARSZAWA,2021,12,6,0.1,-1.4,-0.7
352200375,WARSZAWA,2021,12,7,-1.3,-4.0,-3.4
352200375,WARSZAWA,2021,12,8,-4.0,-7.6,-5.5
352200375,WARSZAWA,2021,12,9,-2.1,-5.1,-3.2
352200375,WARSZAWA,2021,12,10,1.2,-2.4,0.3
352200375,WARSZAWA,2021,12,11,0.8,-1.4,-0.4
352200375,WARSZAWA,2021,12,12,-0.3,-4.0,-2.9
352200375,WARSZAWA,2021,12,13,-2.3,-3.0,-2.7
352200375,WARSZAWA,2021,12,14,-0.6,-5.5,-2.8
352200375,WARSZAWA,2021,12,15,5.3,-0.6,3.4
352200375,WARSZAWA,2021,12,16,7.3,5.0,6.2
352200375,WARSZAWA,2021,12,17,5.5,2.8,3.5
352200375,WARSZAWA,2021,12,18,3.9,0.1,2.3
352200375,WARSZAWA,2021,12,19,5.8,1.3,3.8
352200375,WARSZAWA,2021,12,20,2.0,-3.7,-0.9
352200375,WARSZAWA,2021,12,21,-2.9,-8.3,-4.1
352200375,WARSZAWA,2021,12,22,-3.2,-4.1,-3.8
352200375,WARSZAWA,2021,12,23,-1.1,-6.2,-3.6
352200375,WARSZAWA,2021,12,24,0.8,-3.1,-0.5
352200375,WARSZAWA,2021,12,25,0.5,-8.7,-5.8
352200375,WARSZAWA,2021,12,26,-4.1,-10.7,-8.1
352200375,WARSZAWA,2021,12,27,-5.9,-13.6,-10.1
352200375,WARSZAWA,2021,12,28,-3.5,-9.3,-5.7
352200375,WARSZAWA,2021,12,29,-1.9,-3.9,-2.6
352200375,WARSZAWA,2021,12,30,4.8,-2.0,2.6
352200375,WARSZAWA,2021,12,31,11.4,3.9,9.5
