stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2024,5,1,25.9,10.4,18.8
352200375,WARSZAWA,2024,5,2,25.2,9.8,19.0
352200375,WARSZAWA,2024,5,3,26.3,10.9,19.8
352200375,WARSZAWA,2024,5,4,26.3,12.0,19.2
352200375,WARSZAWA,2024,5,5,26.5,10.4,18.8
352200375,WARSZAWA,2024,5,6,20.0,13.2,16.6
352200375,WARSZAWA,2024,5,7,16.3,9.2,12.2
352200375,WARSZAWA,2024,5,8,18.1,4.9,11.9
352200375,WARSZAWA,2024,5,9,19.4,6.3,13.2
352200375,WARSZAWA,2024,5,10,19.0,5.5,12.9
352200375,WARSZAWA,2024,5,11,16.2,9.2,12.2
352200375,WARSZAWA,2024,5,12,18.7,5.1,12.6
352200375,WARSZAWA,2024,5,13,21.1,4.2,14.4
352200375,WARSZAWA,2024,5,14,22.6,6.8,15.6
352200375,WARSZAWA,2024,5,15,20.7,8.0,14.9
352200375,WARSZAWA,2024,5,16,22.0,8.8,15.8
352200375,WARSZAWA,2024,5,17,23.0,9.0,16.8
352200375,WARSZAWA,2024,5,18,24.2,10.1,17.2
352200375,WARSZAWA,2024,5,19,24.4,12.0,18.4
352200375,WARSZAWA,2024,5,20,25.0,14.2,20.1
352200375,WARSZAWA,2024,5,21,28.0,12.3,21.2
352200375,WARSZAWA,2024,5,22,28.8,14.9,21.6
352200375,WARSZAWA,2024,5,23,23.9,16.0,18.4
352200375,WARSZAWA,2024,5,24,29.2,14.4,21.1
352200375,WARSZAWA,2024,5,25,27.8,14.2,21.3
352200375,WARSZAWA,2024,5,26,28.6,13.9,21.2
352200375,WARSZAWA,2024,5,27,28.8,13.2,22.1
352200375,WARSZAWA,2024,5,28,28.7,12.9,22.0
352200375,WARSZAWA,2024,5,29,26.0,16.2,19.9
352200375,WARSZAWA,2024,5,30,26.7,14.7,19.9
352200375,WARSZAWA,2024,5,31,25.8,14.4,20.3
