stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2003,4,1,8.3,-2.7,2.4
352200375,WARSZAWA,2003,4,2,12.7,0.2,5.8
352200375,WARSZAWA,2003,4,3,8.6,2.5,5.4
352200375,WARSZAWA,2003,4,4,6.3,-0.9,3.2
352200375,WARSZAWA,2003,4,5,6.8,-0.1,1.8
352200375,WARSZAWA,2003,4,6,1.2,-2.7,-1.9
352200375,WARSZAWA,2003,4,7,1.3,-3.6,-1.7
352200375,WARSZAWA,2003,4,8,-1.0,-3.6,-2.5
352200375,WARSZAWA,2003,4,9,0.3,-3.2,-1.9
352200375,WARSZAWA,2003,4,10,3.9,-5.3,0.4
352200375,WARSZAWA,2003,4,11,6.3,2.5,3.8
352200375,WARSZAWA,2003,4,12,10.4,0.0,5.0
352200375,WARSZAWA,2003,4,13,13.5,-2.6,6.8
352200375,WARSZAWA,2003,4,14,15.2,2.7,9.4
352200375,WARSZAWA,2003,4,15,15.9,5.8,10.4
352200375,WARSZAWA,2003,4,16,14.6,2.9,9.1
352200375,WARSZAWA,2003,4,17,16.3,2.8,10.3
352200375,WARSZAWA,2003,4,18,14.7,4.1,10.0
352200375,WARSZAWA,2003,4,19,15.1,6.3,10.4
352200375,WARSZAWA,2003,4,20,16.8,2.8,10.2
352200375,WARSZAWA,2003,4,21,18.3,4.7,12.0
352200375,WARSZAWA,2003,4,22,17.7,7.1,11.8
352200375,WARSZAWA,2003,4,23,13.5,7.4,9.1
352200375,WARSZAWA,2003,4,24,18.4,5.3,12.0
352200375,WARSZAWA,2003,4,25,14.7,3.0,9.4
352200375,WARSZAWA,2003,4,26,14.6,1.3,8.9
352200375,WARSZAWA,2003,4,27,15.6,7.9,11.3
352200375,WARSZAWA,2003,4,28,18.0,7.2,12.9
352200375,WARSZAWA,2003,4,29,25.4,7.9,17.5
352200375,WARSZAWA,2003,4,30,24.1,9.1,18.3
