stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2009,1,1,-3.7,-6.7,-4.9
352200375,WARSZAWA,2009,1,2,-2.2,-7.5,-4.5
352200375,WARSZAWA,2009,1,3,-2.4,-8.7,-5.4
352200375,WARSZAWA,2009,1,4,-0.7,-8.9,-4.3
352200375,WARSZAWA,2009,1,5,-7.5,-14.1,-12.1
352200375,WARSZAWA,2009,1,6,-9.8,-21.9,-16.1
352200375,WARSZAWA,2009,1,7,-6.2,-20.4,-11.9
352200375,WARSZAWA,2009,1,8,-5.8,-9.5,-7.4
352200375,WARSZAWA,2009,1,9,-1.6,-6.7,-3.1
352200375,WARSZAWA,2009,1,10,0.0,-2.7,-0.6
352200375,WARSZAWA,2009,1,11,1.4,-5.5,-1.5
352200375,WARSZAWA,2009,1,12,0.6,-10.2,-5.4
352200375,WARSZAWA,2009,1,13,0.0,-10.7,-5.9
352200375,WARSZAWA,2009,1,14,-1.8,-10.2,-5.1
352200375,WARSZAWA,2009,1,15,-1.2,-2.8,-1.9
352200375,WARSZAWA,2009,1,16,0.1,-3.5,-1.6
352200375,WARSZAWA,2009,1,17,-1.7,-4.9,-3.3
352200375,WARSZAWA,2009,1,18,-2.5,-13.3,-4.7
352200375,WARSZAWA,2009,1,19,2.6,-3.1,-0.5
352200375,WARSZAWA,2009,1,20,4.3,-3.0,1.2
352200375,WARSZAWA,2009,1,21,5.7,1.8,3.6
352200375,WARSZAWA,2009,1,22,4.7,0.8,1.7
352200375,WARSZAWA,2009,1,23,4.3,0.2,2.0
352200375,WARSZAWA,2009,1,24,5.0,3.0,3.6
352200375,WARSZAWA,2009,1,25,5.3,0.8,2.4
352200375,WARSZAWA,2009,1,26,3.5,-0.3,0.8
352200375,WARSZAWA,2009,1,27,2.1,-1.5,1.0
352200375,WARSZAWA,2009,1,28,1.4,-1.0,-0.1
352200375,WARSZAWA,2009,1,29,2.9,-0.7,0.8
352200375,WARSZAWA,2009,1,30,0.9,-0.8,0.1
352200375,WARSZAWA,2009,1,31,0.5,-1.8,-1.0
