stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2009,3,1,5.0,-5.3,-0.4
352200375,WARSZAWA,2009,3,2,5.7,-5.3,-0.5
352200375,WARSZAWA,2009,3,3,1.8,-2.8,0.0
352200375,WARSZAWA,2009,3,4,8.5,1.2,3.5
352200375,WARSZAWA,2009,3,5,7.7,1.4,3.5
352200375,WARSZAWA,2009,3,6,4.8,2.4,3.3
352200375,WARSZAWA,2009,3,7,3.5,1.6,2.2
352200375,WARSZAWA,2009,3,8,3.3,-0.3,1.5
352200375,WARSZAWA,2009,3,9,6.6,0.6,3.0
352200375,WARSZAWA,2009,3,10,6.2,0.6,2.8
352200375,WARSZAWA,2009,3,11,7.5,0.2,3.0
352200375,WARSZAWA,2009,3,12,3.7,-0.7,0.6
352200375,WARSZAWA,2009,3,13,5.7,-3.5,1.5
352200375,WARSZAWA,2009,3,14,8.1,0.4,3.3
352200375,WARSZAWA,2009,3,15,11.2,-1.5,4.9
352200375,WARSZAWA,2009,3,16,8.3,1.7,3.2
352200375,WARSZAWA,2009,3,17,6.8,-2.3,2.2
352200375,WARSZAWA,2009,3,18,5.0,2.2,2.8
352200375,WARSZAWA,2009,3,19,2.4,-0.4,0.8
352200375,WARSZAWA,2009,3,20,1.9,0.0,0.9
352200375,WARSZAWA,2009,3,21,5.8,-0.5,2.8
352200375,WARSZAWA,2009,3,22,4.2,0.8,2.0
352200375,WARSZAWA,2009,3,23,7.6,1.1,4.0
352200375,WARSZAWA,2009,3,24,5.0,0.1,2.1
352200375,WARSZAWA,2009,3,25,1.0,-3.5,-1.6
352200375,WARSZAWA,2009,3,26,4.6,-8.0,-0.7
352200375,WARSZAWA,2009,3,27,7.9,1.3,4.9
352200375,WARSZAWA,2009,3,28,12.3,3.3,8.4
352200375,WARSZAWA,2009,3,29,11.9,7.6,9.1
352200375,WARSZAWA,2009,3,30,8.5,5.1,5.9
352200375,WARSZAWA,2009,3,31,12.6,-1.9,5.8
